model_id,bbh_acc,math_acc,musr_acc,mmlu_pro_acc,bbh_sub_boolean_expressions,bbh_sub_causal_judgement,bbh_sub_date_understanding,bbh_sub_logical_deduction_five_objects,bbh_sub_logical_deduction_seven_objects,bbh_sub_logical_deduction_three_objects,bbh_sub_navigate,bbh_sub_object_counting,bbh_sub_penguins_in_a_table,bbh_sub_web_of_lies,score_variance,label
Jimmy19991222/llama-3-8b-instruct-gapo-v2-bert_f1-beta10-gamma0.3-lr1.0e-6-scale-log,0.4924492275646589,0.0543806646525679,0.3994708994708995,0.3657746010638298,0.78,0.6096256684491979,0.496,0.384,0.412,0.56,0.668,0.344,0.4589041095890411,0.464,0.0272218677206978,0
CultriX/Qwen2.5-14B-Hyper,0.6484985245617081,0.343655589123867,0.4894179894179894,0.5374002659574468,0.872,0.6363636363636364,0.672,0.62,0.584,0.92,0.72,0.5,0.7054794520547946,0.54,0.0145312381981958,0
bamec66557/MISCHIEVOUS-12B-Mix_0.2v,0.5412254816872071,0.1261329305135951,0.4153439153439153,0.3662732712765957,0.84,0.5935828877005348,0.668,0.464,0.444,0.728,0.64,0.388,0.541095890410959,0.512,0.0229246345040607,0
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,0.3015101544870682,0.0241691842900302,0.365079365079365,0.1644780585106383,0.536,0.4598930481283422,0.296,0.184,0.136,0.36,0.42,0.2,0.2534246575342466,0.504,0.0174927054646846,0
TinyLlama/TinyLlama-1.1B-Chat-v0.5,0.3067175837528207,0.0037764350453172,0.365079365079365,0.1096243351063829,0.464,0.5347593582887701,0.16,0.236,0.144,0.344,0.436,0.124,0.2260273972602739,0.492,0.021855400341824,1
MaziyarPanahi/calme-2.2-phi3-4b,0.5505988543655616,0.1450151057401812,0.3968253968253968,0.3813996010638298,0.852,0.6310160427807486,0.552,0.532,0.488,0.796,0.62,0.34,0.5136986301369864,0.524,0.0214631966500322,0
JayHyeon/Qwen_0.5-DPOP_1e-7-3ep_0alp_5lam,0.3174796042353758,0.0407854984894259,0.328042328042328,0.15625,0.748,0.4598930481283422,0.252,0.22,0.168,0.332,0.58,0.1,0.2465753424657534,0.524,0.0148820290484738,0
zelk12/MT2-Gen7-gemma-2-9B,0.6068390904356883,0.1019637462235649,0.4193121693121693,0.4311003989361702,0.856,0.6256684491978609,0.6,0.544,0.552,0.828,0.668,0.324,0.6095890410958904,0.516,0.0333772255775573,0
INSAIT-Institute/BgGPT-Gemma-2-27B-IT-v1.0,0.2876236764450616,0.0,0.3571428571428571,0.116688829787234,0.46,0.5187165775401069,0.192,0.192,0.148,0.32,0.42,0.0,0.2328767123287671,0.488,0.0207069880238212,0
mlabonne/BigQwen2.5-Echo-47B-Instruct,0.6099635479951397,0.4380664652567976,0.4113756613756614,0.4734042553191489,0.816,0.6524064171122995,0.616,0.648,0.6,0.92,0.76,0.356,0.6712328767123288,0.624,0.0115257217879109,1
